iter	Passed	Remaining
484	606	643
485	607	642
486	608	640
487	609	639
488	610	638
489	611	636
490	612	635
491	613	633
492	614	632
493	615	630
494	616	628
495	617	627
496	618	625
497	619	624
498	620	622
499	620	620
500	621	619
501	622	617
502	623	616
503	624	614
504	625	613
505	626	611
506	627	610
507	628	609
508	629	607
509	630	605
510	631	604
511	632	602
512	633	601
513	634	599
514	635	598
515	636	596
516	637	595
517	638	593
518	639	592
519	640	590
520	641	589
521	642	587
522	642	586
523	643	585
524	644	583
525	645	581
526	646	580
527	647	578
528	648	577
529	649	576
530	650	574
531	651	573
532	652	571
533	653	570
534	654	568
535	655	567
536	656	565
537	656	564
538	657	562
539	659	561
540	660	560
541	661	558
542	661	557
543	662	555
544	663	554
545	664	552
546	665	551
547	666	549
548	667	548
549	668	546
550	669	545
551	670	543
552	671	542
553	671	540
554	672	539
555	673	538
556	674	536
557	675	535
558	676	533
559	677	532
560	678	530
561	679	529
562	680	528
563	681	526
564	682	525
565	683	523
566	683	522
567	684	520
568	685	519
569	686	518
570	687	516
571	688	515
572	689	513
573	690	512
574	691	511
575	693	510
576	693	508
577	695	507
578	696	506
579	696	504
580	697	503
581	698	501
582	699	500
583	700	499
584	701	497
585	702	496
586	703	495
587	704	493
588	705	492
589	706	491
590	707	489
591	708	488
592	709	486
593	710	485
594	711	484
595	712	482
596	712	481
597	713	479
598	715	478
599	716	477
600	717	476
601	718	474
602	719	473
603	720	472
604	721	470
605	722	469
606	722	468
607	723	466
608	724	465
609	725	464
610	726	462
611	727	461
612	728	459
613	729	458
614	730	457
615	731	456
616	732	454
617	733	453
618	734	452
619	735	450
620	736	449
621	737	448
622	738	446
623	739	445
624	740	444
625	741	442
626	742	441
627	743	440
628	743	438
629	744	437
630	746	436
631	747	435
632	748	433
633	748	432
634	750	431
635	750	429
636	751	428
637	752	427
638	753	425
639	754	424
640	755	423
641	756	421
642	757	420
643	758	419
644	759	418
645	760	416
646	761	415
647	762	414
648	763	412
649	763	411
650	764	410
651	765	408
652	766	407
653	767	406
654	768	404
655	769	403
656	770	402
657	771	401
658	772	399
659	773	398
660	774	397
661	775	395
662	776	394
663	777	393
664	777	391
665	778	390
666	780	389
667	781	388
668	782	386
669	782	385
670	783	384
671	784	383
672	785	381
673	786	380
674	787	379
675	788	378
676	789	376
677	790	375
678	791	374
679	792	372
680	793	371
681	794	370
682	795	369
683	796	367
684	797	366
685	798	365
686	798	363
687	800	362
688	801	361
689	802	360
690	802	359
691	803	357
692	805	356
693	806	355
694	807	354
695	807	352
696	808	351
697	809	350
698	810	349
699	811	347
700	812	346
701	813	345
702	814	344
703	816	343
704	816	341
705	817	340
706	818	339
707	819	338
708	820	336
709	821	335
710	822	334
711	823	332
712	824	331
713	825	330
714	826	329
715	827	328
716	828	326
717	829	325
718	830	324
719	831	323
720	831	321
721	832	320
722	833	319
723	834	318
724	835	317
725	836	315
726	837	314
727	838	313
728	839	312
729	840	310
730	841	309
731	842	308
732	843	307
733	844	305
734	845	304
735	846	303
736	847	302
737	847	301
738	849	299
739	849	298
740	850	297
741	851	296
742	852	294
743	853	293
744	854	292
745	855	291
746	856	290
747	857	288
748	858	287
749	859	286
750	860	285
751	861	283
752	862	282
753	862	281
754	863	280
755	864	279
756	865	277
757	866	276
758	867	275
759	868	274
760	869	273
761	870	272
762	871	270
763	872	269
764	873	268
765	874	267
766	875	265
767	876	264
768	877	263
769	878	262
770	879	261
771	880	260
772	881	258
773	882	257
774	883	256
775	884	255
776	885	254
777	886	252
778	887	251
779	888	250
780	889	249
781	890	248
782	891	246
783	891	245
784	892	244
785	894	243
786	895	242
787	896	241
788	897	240
789	898	238
790	899	237
791	900	236
792	901	235
793	902	234
794	903	232
795	904	231
796	905	230
797	906	229
798	907	228
799	908	227
800	909	225
801	910	224
802	911	223
803	911	222
804	912	221
805	913	219
806	914	218
807	915	217
808	916	216
809	917	215
810	918	214
811	919	212
812	920	211
813	921	210
814	922	209
815	923	208
816	925	207
817	925	206
818	926	204
819	927	203
820	928	202
821	929	201
822	930	200
823	931	198
824	932	197
825	933	196
826	935	195
827	936	194
828	937	193
829	938	192
830	939	191
831	940	189
832	941	188
833	942	187
834	943	186
835	944	185
836	945	184
837	946	182
838	947	181
839	947	180
840	949	179
841	950	178
842	951	177
843	952	175
844	952	174
845	953	173
846	954	172
847	955	171
848	956	170
849	957	168
850	958	167
851	959	166
852	960	165
853	961	164
854	962	163
855	963	162
856	964	160
857	964	159
858	965	158
859	966	157
860	967	156
861	968	155
862	969	153
863	970	152
864	971	151
865	972	150
866	973	149
867	974	148
868	975	147
869	976	145
870	977	144
871	978	143
872	979	142
873	979	141
874	981	140
875	981	139
876	982	137
877	983	136
878	984	135
879	986	134
880	986	133
881	987	132
882	988	130
883	989	129
884	991	128
885	992	127
886	993	126
887	993	125
888	994	124
889	995	123
890	996	121
891	997	120
892	998	119
893	999	118
894	1000	117
895	1001	116
896	1002	115
897	1003	113
898	1004	112
899	1005	111
900	1006	110
901	1007	109
902	1008	108
903	1009	107
904	1010	106
905	1010	104
906	1011	103
907	1012	102
908	1013	101
909	1014	100
910	1015	99
911	1016	98
912	1017	96
913	1018	95
914	1019	94
915	1020	93
916	1021	92
917	1022	91
918	1023	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1027	84
924	1028	83
925	1029	82
926	1030	81
927	1031	80
928	1032	78
929	1033	77
930	1034	76
931	1035	75
932	1036	74
933	1037	73
934	1038	72
935	1039	71
936	1040	69
937	1041	68
938	1042	67
939	1043	66
940	1044	65
941	1045	64
942	1046	63
943	1047	62
944	1049	61
945	1050	59
946	1051	58
947	1052	57
948	1052	56
949	1053	55
950	1054	54
951	1055	53
952	1056	52
953	1058	51
954	1058	49
955	1060	48
956	1060	47
957	1061	46
958	1062	45
959	1063	44
960	1064	43
961	1065	42
962	1066	40
963	1067	39
964	1068	38
965	1069	37
966	1070	36
967	1071	35
968	1072	34
969	1073	33
970	1074	32
971	1074	30
972	1075	29
973	1076	28
974	1077	27
975	1078	26
976	1079	25
977	1080	24
978	1081	23
979	1082	22
980	1083	20
981	1084	19
982	1085	18
983	1086	17
984	1087	16
985	1088	15
986	1089	14
987	1090	13
988	1091	12
989	1092	11
990	1093	9
991	1094	8
992	1095	7
993	1096	6
994	1097	5
995	1098	4
996	1099	3
997	1100	2
998	1101	1
999	1102	0
